from_bloc,to_bloc,proportion
Balkan Bloc,Balkan Bloc,41.9
Balkan Bloc,East Bloc,18.1
Balkan Bloc,Other Countries,16.8
Balkan Bloc,Western Bloc,11.7
Balkan Bloc,Nordic Bloc,8.7
Balkan Bloc,Iberian Bloc,2.7
East Bloc,East Bloc,46.6
East Bloc,Nordic Bloc,15.9
East Bloc,Balkan Bloc,13.3
East Bloc,Western Bloc,11.6
East Bloc,Other Countries,9.9
East Bloc,Iberian Bloc,2.6
Iberian Bloc,Western Bloc,25.2
Iberian Bloc,Balkan Bloc,20.7
Iberian Bloc,Other Countries,16.4
Iberian Bloc,East Bloc,15.2
Iberian Bloc,Iberian Bloc,11.6
Iberian Bloc,Nordic Bloc,10.9
Nordic Bloc,Nordic Bloc,37.7
Nordic Bloc,Western Bloc,23.3
Nordic Bloc,Other Countries,12.3
Nordic Bloc,Balkan Bloc,11.9
Nordic Bloc,East Bloc,11.5
Nordic Bloc,Iberian Bloc,3.3
Other Countries,Balkan Bloc,27.3
Other Countries,East Bloc,20.0
Other Countries,Western Bloc,18.9
Other Countries,Nordic Bloc,18.2
Other Countries,Other Countries,12.1
Other Countries,Iberian Bloc,3.4
Western Bloc,Western Bloc,30.5
Western Bloc,Balkan Bloc,17.8
Western Bloc,Nordic Bloc,17.2
Western Bloc,East Bloc,14.6
Western Bloc,Other Countries,14.2
Western Bloc,Iberian Bloc,5.6
